Geo point;GENRE;ESPECE;ADRESSE;IDBASE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;OBJECTID;LIBELLEFRANCAIS
48.8543846725, 2.29863693912;Cedrus;libani;JARDIN DU CHAMP DE MARS;106913.0;Arbre;Jardin;PARIS 7E ARRDT;07-04;;P0070796;295.0;20.0;M;Inconnue;'Glauca';1700-01-01T01:02:49+00:53;1;166001;Cèdre
48.8227147039, 2.33868841423;Platanus;x hispanica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;113547.0;Arbre;Jardin;PARIS 14E ARRDT;04 - Le vallon du Lac / Plateau Baigneuses;;0007A1001;604.0;30.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;208014;Platane
48.863263161, 2.24072476384;Taxodium;distichum;GRANDE CASCADE - CARREFOUR DE LONGCHAMP;2002347.0;Arbre;Jardin;BOIS DE BOULOGNE;16-07;;000301001;311.0;28.0;M;Inconnue;;1859-01-01T01:02:49+00:53;1;203075;Cyprès Chauve
48.8648104138, 2.23370602002;Salix;babylonica;ETANG DE SURESNES / ROUTE DE SURESNES - ROUTE DES MOULINS;2009036.0;Arbre;Jardin;BOIS DE BOULOGNE;16-61;;000201001;285.0;10.0;M;Inconnue;;1901-01-01T01:09:21+01:00;1;225011;Saule
48.8846213312, 2.34392438346;Platanus;orientalis;SQUARE LOUISE MICHEL;120588.0;Arbre;Jardin;PARIS 18E ARRDT;18-01;;00000201;520.0;28.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;189759;Platane
48.8940926568, 2.32633191622;Aesculus;pavia;SQUARE DES EPINETTES;134203.0;Arbre;Jardin;PARIS 17E ARRDT;17-04;;00000125;284.0;20.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;194876;Marronnier
48.857749011, 2.33940394029;Salix;babylonica;QUAI DE L HORLOGE;230281.0;Arbre;Alignement;PARIS 1ER ARRDT;;;000402002;120.0;14.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;185026;Saule
48.8731110898, 2.24886478886;Fagus;sylvatica;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;2002354.0;Arbre;Jardin;BOIS DE BOULOGNE;16-17;;000701004;231.0;16.0;M;Inconnue;'Pendula';1868-01-01T01:02:49+00:53;1;33842;Hêtre
48.869458282, 2.24771343792;Sequoiadendron;giganteum;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;2002350.0;Arbre;Jardin;BOIS DE BOULOGNE;16-22;;000701002;511.0;28.0;A;Inconnue;;1850-01-01T01:02:49+00:53;1;9023;Sequoia
48.8810210944, 2.39924431307;Fagus;sylvatica;SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE;127516.0;Arbre;Jardin;PARIS 19E ARRDT;;;00000004;276.0;21.0;M;Inconnue;'Atropunicea';1700-01-01T01:02:49+00:53;1;64289;Hêtre
48.8716811488, 2.24923265275;Araucaria;araucana;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;2002353.0;Arbre;Jardin;BOIS DE BOULOGNE;16-23;;000701003;182.0;11.0;A;Inconnue;;1907-01-01T01:09:21+01:00;1;13354;Araucaria
48.8326105728, 2.41145272899;Taxodium;distichum;ILE DE BERCY / LAC DAUMESNIL;2002363.0;Arbre;Jardin;BOIS DE VINCENNES;12-10;;12-10;281.0;23.0;A;Inconnue;;1930-01-01T01:00:00+01:00;1;13130;Cyprès Chauve
48.8341740278, 2.4613206192;Quercus;robur;LAC DES MINIMES - ROUTE RONDE DES MINIMES;2002376.0;Arbre;Jardin;BOIS DE VINCENNES;12-25;;12-25;422.0;30.0;M;Inconnue;;1784-01-01T01:02:49+00:53;1;22213;Chêne
48.8557944122, 2.30025394143;Diospyros;lotus;JARDIN DU CHAMP DE MARS;106714.0;Arbre;Jardin;PARIS 7E ARRDT;07-06;;P0090570;162.0;13.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;24788;Plaqueminier
48.8320775848, 2.41181713566;Taxus;baccata;ILE DE BERCY / LAC DAUMESNIL;2002362.0;Arbre;Jardin;BOIS DE VINCENNES;12-08;;12-08;101.0;5.0;A;Inconnue;;1870-01-01T01:02:49+00:53;1;24045;If
48.8477822447, 2.25372288858;Betula;nigra;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136460.0;Arbre;Jardin;PARIS 16E ARRDT;;;00030015;212.0;20.0;M;Inconnue;;1982-01-01T02:00:00+01:00;1;56037;Bouleau
48.8672280446, 2.27026875561;Cedrus;libani;SQUARE CLAUDE DEBUSSY / 51 AVENUE DU MARECHAL FAYOLLE;138935.0;Arbre;Jardin;PARIS 16E ARRDT;16-24;;000101001;213.0;6.0;M;Inconnue;'Glauca Pendula';1700-01-01T01:02:49+00:53;1;8645;Cèdre
48.8876882466, 2.31645921238;Platanus;x hispanica;SQUARE DES BATIGNOLLES;135397.0;Arbre;Jardin;PARIS 17E ARRDT;17-10;;00000206;595.0;34.0;M;Inconnue;;1850-01-01T01:02:49+00:53;1;15881;Platane
48.8613685289, 2.25898794355;Fagus;sylvatica;PETITE ILE DU LAC INFERIEUR;2002393.0;Arbre;Jardin;BOIS DE BOULOGNE;16-11;;000801001;200.0;10.0;M;Inconnue;'Pendula';1857-01-01T01:02:49+00:53;1;24475;Hêtre
48.847146744, 2.25198353717;Pterocarya;stenoptera;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;136310.0;Arbre;Jardin;PARIS 16E ARRDT;;;00040026;540.0;30.0;M;Inconnue;;1905-01-01T01:09:21+01:00;1;25193;Pterocarya
48.8639651868, 2.25134968355;Pinus;nigra;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;2002395.0;Arbre;Jardin;BOIS DE BOULOGNE;16-16;;000501001;330.0;27.0;A;Inconnue;;2000-01-01T02:00:00+01:00;1;45668;Pin
48.8630096006, 2.2417737512;Pinus;nigra subsp. laricio;RESERVOIR DE LA GRANDE CASCADE - CARREFOUR DE LONGCHAMP;2002349.0;Arbre;Jardin;BOIS DE BOULOGNE;16-08;;000901001;241.0;30.0;M;Inconnue;;1882-01-01T01:02:49+00:53;1;57309;Pin
48.8341620932, 2.38255442632;Platanus;x hispanica;PARC DE BERCY;100818.0;Arbre;Jardin;PARIS 12E ARRDT;12-36;;00000373;502.0;35.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;58270;Platane
48.8363411221, 2.29020948574;Fagus;sylvatica;SQUARE DU CLOS FEUQUIERES;128373.0;Arbre;Jardin;PARIS 15E ARRDT;;;00000002;125.0;5.0;A;Inconnue;'Pendula';1973-01-01T02:00:00+01:00;1;61137;Hêtre
48.8787029872, 2.30647417371;Acer;pseudoplatanus;PARC MONCEAU;305507.0;Arbre;Jardin;PARIS 8E ARRDT;08-01;;00NO0144;450.0;28.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;66217;Erable
48.8520872721, 2.28253143196;Populus;x canadensis;ALLEE DES CYGNES;258705.0;Arbre;Alignement;PARIS 15E ARRDT;;;000402029;380.0;20.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;69631;Peuplier
48.882331696, 2.31024539129;Aesculus;hippocastanum;PELOUSES DE LA PLACE DU GENERAL CATROUX;128154.0;Arbre;Jardin;PARIS 17E ARRDT;;;00000013;383.0;25.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;72397;Marronnier
48.8333775625, 2.41261311356;Juglans;nigra;ROUTE DE LA CEINTURE DU LAC DAUMESNIL - LAC DAUMESNIL / PORTE DOREE;2002367.0;Arbre;Jardin;BOIS DE VINCENNES;12-04;;12-04;585.0;26.0;A;Inconnue;;1845-01-01T01:02:49+00:53;1;81868;Noyer
48.86193299, 2.39871043218;Acer;monspessulanum;CIMETIERE DU PERE LACHAISE / DIV 77;140495.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-07;;D00000077020;232.0;14.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;96412;Erable
48.8578039088, 2.39574078452;Eucommia;ulmoides;CIMETIERE DU PERE LACHAISE / DIV 75;155948.0;Arbre;CIMETIERE;PARIS 20E ARRDT;20-11;;D00000075015;120.0;12.0;A;Inconnue;;1700-01-01T01:02:49+00:53;1;108472;Arbre à Gutta-Percha
48.821579307, 2.45494663547;Zelkova;carpinifolia;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;2002381.0;Arbre;Jardin;BOIS DE VINCENNES;12-21;;12-21;308.0;21.0;M;Inconnue;;2000-01-01T02:00:00+01:00;1;189681;Orme de Sibérie
48.8785828156, 2.30755979417;Platanus;orientalis;PARC MONCEAU;313940.0;Arbre;Jardin;PARIS 8E ARRDT;08-02;;00SO0222;645.0;31.0;M;Inconnue;;1700-01-01T01:02:49+00:53;1;205190;Platane
